id,time_step,birth_time,death_time,x,y,next_id,prev_id
35,0,0,50,732,311,34,36
35,1,0,50,732,310,34,36
35,2,0,50,732,311,34,36
35,3,0,50,732,310,34,36
35,4,0,50,732,308,34,36
35,5,0,50,733,308,34,36
35,6,0,50,732,307,34,36
35,7,0,50,733,306,34,36
35,8,0,50,733,305,34,36
35,9,0,50,734,304,34,36
35,10,0,50,733,303,34,36
35,11,0,50,734,302,34,36
35,12,0,50,733,301,34,36
35,13,0,50,732,300,34,36
35,14,0,50,731,299,280,36
35,15,0,50,731,298,280,36
35,16,0,50,731,297,280,36
35,17,0,50,730,296,280,36
35,18,0,50,731,295,207,36
35,19,0,50,730,296,207,36
35,20,0,50,728,298,207,36
35,21,0,50,727,297,207,36
35,22,0,50,727,296,207,36
35,23,0,50,728,295,207,36
35,24,0,50,726,293,207,36
35,25,0,50,726,294,207,36
35,26,0,50,725,293,207,36
35,27,0,50,723,291,207,497
35,28,0,50,721,293,207,497
35,29,0,50,720,295,207,497
35,30,0,50,718,298,207,529
35,31,0,50,717,299,207,529
35,32,0,50,715,301,207,585
35,33,0,50,715,302,207,529
35,34,0,50,713,304,207,529
35,35,0,50,712,303,207,529
35,36,0,50,711,304,207,529
35,37,0,50,710,303,207,529
35,38,0,50,710,304,207,529
35,39,0,50,709,305,207,529
35,40,0,50,708,304,207,529
35,41,0,50,707,305,207,529
35,42,0,50,706,304,207,529
35,43,0,50,706,305,207,529
35,44,0,50,705,306,207,529
35,45,0,50,705,307,207,529
35,46,0,50,705,308,207,529
35,47,0,50,704,309,207,529
35,48,0,50,703,308,207,529
35,49,0,50,702,307,207,529
36,0,0,28,732,323,35,37
36,1,0,28,732,322,35,37
36,2,0,28,732,321,35,37
36,3,0,28,732,320,35,37
36,4,0,28,733,319,35,37
36,5,0,28,733,318,35,37
36,6,0,28,732,317,35,37
36,7,0,28,732,316,35,37
36,8,0,28,732,315,35,37
36,9,0,28,733,314,35,37
36,10,0,28,733,313,35,37
36,11,0,28,733,312,35,37
36,12,0,28,732,311,35,37
36,13,0,28,733,311,35,37
36,14,0,28,732,310,35,37
36,15,0,28,733,309,35,37
36,16,0,28,733,308,35,37
36,17,0,28,733,307,35,37
36,18,0,28,733,306,35,37
36,19,0,28,731,304,35,37
36,20,0,28,731,305,35,37
36,21,0,28,731,304,35,37
36,22,0,28,731,303,35,37
36,23,0,28,730,302,35,37
36,24,0,28,729,304,35,37
36,25,0,28,729,305,35,467
36,26,0,28,728,304,35,467
36,27,0,28,727,305,497,360
37,0,0,25,734,333,36,38
37,1,0,25,732,331,36,38
37,2,0,25,732,330,36,38
37,3,0,25,732,331,36,38
37,4,0,25,734,329,36,38
37,5,0,25,734,328,36,38
37,6,0,25,735,327,36,38
37,7,0,25,735,326,36,38
37,8,0,25,735,327,36,38
37,9,0,25,734,326,36,38
37,10,0,25,734,325,36,38
37,11,0,25,734,324,36,38
37,12,0,25,733,323,36,38
37,13,0,25,732,322,36,38
37,14,0,25,732,321,36,38
37,15,0,25,732,320,36,38
37,16,0,25,732,319,36,38
37,17,0,25,732,318,36,38
37,18,0,25,732,317,36,38
37,19,0,25,733,316,36,360
37,20,0,25,733,315,36,360
37,21,0,25,733,314,36,360
37,22,0,25,732,313,36,360
37,23,0,25,731,312,36,360
37,24,0,25,730,311,36,360
38,0,0,24,733,340,37,39
38,1,0,24,734,341,37,39
38,2,0,24,735,341,37,39
38,3,0,24,737,339,37,39
38,4,0,24,737,338,37,39
38,5,0,24,737,337,37,39
38,6,0,24,737,336,37,39
38,7,0,24,738,335,37,39
38,8,0,24,738,334,37,39
38,9,0,24,737,333,37,39
38,10,0,24,736,332,37,39
38,11,0,24,735,333,37,237
38,12,0,24,735,332,37,237
38,13,0,24,735,331,37,237
38,14,0,24,735,330,37,237
38,15,0,24,734,329,37,237
38,16,0,24,733,330,37,237
38,17,0,24,733,327,37,237
38,18,0,24,733,328,37,237
38,19,0,24,732,330,360,237
38,20,0,24,732,329,360,237
38,21,0,24,733,328,360,398
38,22,0,24,733,327,360,398
